diameter,steps,measured_angle,tilt,tilt component,experimental a/s,theoretical a/s,k factor,expected angle,error
3,44.5,45.09,0,1,1.013258427,1.940417066,0.522185897,43.17427972,-1.915720278
3,44.5,44.63,0,1,1.002921348,1.940417066,0.516858652,43.17427972,-1.455720278
3,44.75,44.62,0,1,0.997094972,1.940417066,0.51385601,43.41683186,-1.203168144
3,44.5,44.35,0,1,0.996629213,1.940417066,0.51361598,43.17427972,-1.175720278
3,44.75,44.2,0,1,0.987709497,1.940417066,0.509019177,43.41683186,-0.783168144
3,44.5,44.1,0,1,0.991011236,1.940417066,0.510720738,43.17427972,-0.925720278
3,44.75,43.63,0,1,0.974972067,1.940417066,0.502454902,43.41683186,-0.213168144
3,44.5,43.01,0,1,0.966516854,1.940417066,0.498097482,43.17427972,0.164279722
3,89.5,90.71,0,1,1.013519553,1.940417066,0.52232047,86.83366371,-3.876336289
3,88.9375,90.68,0,1,1.01959241,1.940417066,0.525450136,86.28792141,-4.392078588
3,89.5,90.35,0,1,1.009497207,1.940417066,0.520247541,86.83366371,-3.516336289
3,88.9375,89.73,0,1,1.008910752,1.940417066,0.519945309,86.28792141,-3.442078588
3,89.5,88.68,0,1,0.990837989,1.940417066,0.510631454,86.83366371,-1.846336289
3,88.9375,88.58,0,1,0.995980323,1.940417066,0.513281573,86.28792141,-2.292078588
3,88.9375,88.31,0,1,0.992944483,1.940417066,0.511717043,86.28792141,-2.022078588
3,88.9375,88.1,0,1,0.990583275,1.940417066,0.510500187,86.28792141,-1.812078588
3,88.9375,87.56,0,1,0.984511595,1.940417066,0.507371128,86.28792141,-1.272078588
3,89.5,87.31,0,1,0.975530726,1.940417066,0.502742809,86.83366371,-0.476336289
3,134.25,137.92,0,1,1.027337058,1.940417066,0.529441364,130.2504956,-7.669504433
3,133.4375,136.03,0,1,1.019428571,1.940417066,0.525365701,129.4622011,-6.567798866
3,133.4375,135.03,0,1,1.011934426,1.940417066,0.521503569,129.4622011,-5.567798866
3,134.25,134.96,0,1,1.005288641,1.940417066,0.518078643,130.2504956,-4.709504433
3,134.25,134.92,0,1,1.004990689,1.940417066,0.517925093,130.2504956,-4.669504433
3,134.25,134.85,0,1,1.004469274,1.940417066,0.51765638,130.2504956,-4.599504433
3,134.25,134.84,0,1,1.004394786,1.940417066,0.517617992,130.2504956,-4.589504433
3,134.25,134.8,0,1,1.004096834,1.940417066,0.517464442,130.2504956,-4.549504433
3,133.4375,134.13,0,1,1.005189696,1.940417066,0.518027651,129.4622011,-4.667798866
3,133.4375,133.69,0,1,1.001892272,1.940417066,0.516328314,129.4622011,-4.227798866
3,133.4375,132.66,0,1,0.994173302,1.940417066,0.512350319,129.4622011,-3.197798866
4,12.75,9.65,0,1,0.756862745,1.4553128,0.520068775,9.277619098,-0.372380902
4,12.9375,9.11,0,1,0.704154589,1.4553128,0.483851025,9.414054673,0.304054673
4,12.9375,9.02,0,1,0.697198068,1.4553128,0.479070938,9.414054673,0.394054673
4,12.75,8.94,0,1,0.701176471,1.4553128,0.481804648,9.277619098,0.337619098
4,12.9375,8.93,0,1,0.690241546,1.4553128,0.474290851,9.414054673,0.484054673
4,12.75,8.91,0,1,0.698823529,1.4553128,0.480187853,9.277619098,0.367619098
4,12.9375,8.9,0,1,0.687922705,1.4553128,0.472697488,9.414054673,0.514054673
4,12.9375,8.82,0,1,0.68173913,1.4553128,0.468448522,9.414054673,0.594054673
4,12.75,8.61,0,1,0.675294118,1.4553128,0.464019912,9.277619098,0.667619098
4,12.75,8.13,0,1,0.637647059,1.4553128,0.438151206,9.277619098,1.147619098
4,58.1875,44.18,0,1,0.759269603,1.4553128,0.521722617,42.34050676,-1.839493236
4,58.1875,43.87,0,1,0.753941998,1.4553128,0.51806182,42.34050676,-1.529493236
4,57.4375,43.56,0,1,0.758389554,1.4553128,0.521117903,41.79476446,-1.765235536
4,58.1875,42.97,0,1,0.738474758,1.4553128,0.5074337,42.34050676,-0.629493236
4,57.4375,42.54,0,1,0.740631121,1.4553128,0.508915417,41.79476446,-0.745235536
4,57.4375,42.47,0,1,0.739412405,1.4553128,0.508077992,41.79476446,-0.675235536
4,58.1875,42.46,0,1,0.729709989,1.4553128,0.501411098,42.34050676,-0.119493236
4,58.1875,42.33,0,1,0.727475832,1.4553128,0.499875925,42.34050676,0.010506764
4,57.4375,42.13,0,1,0.733492927,1.4553128,0.504010497,41.79476446,-0.335235536
4,57.4375,42.08,0,1,0.732622416,1.4553128,0.503412336,41.79476446,-0.285235536
4,114.875,88.95,0,1,0.774319913,1.4553128,0.53206425,83.58952893,-5.360471071
4,116.375,88.86,0,1,0.763566058,1.4553128,0.524674873,84.68101353,-4.178986471
4,116.375,88.86,0,1,0.763566058,1.4553128,0.524674873,84.68101353,-4.178986471
4,116.375,87.26,0,1,0.749817401,1.4553128,0.515227655,84.68101353,-2.578986471
4,114.875,87.22,0,1,0.759260065,1.4553128,0.521716064,83.58952893,-3.630471071
4,116.375,87.21,0,1,0.749387755,1.4553128,0.514932429,84.68101353,-2.528986471
4,114.875,87.18,0,1,0.758911861,1.4553128,0.521476799,83.58952893,-3.590471071
4,114.875,86.84,0,1,0.755952122,1.4553128,0.519443052,83.58952893,-3.250471071
4,114.875,86.77,0,1,0.755342764,1.4553128,0.519024339,83.58952893,-3.180471071
4,114.875,86.4,0,1,0.752121872,1.4553128,0.516811143,83.58952893,-2.810471071
4,116.375,86.24,0,1,0.741052632,1.4553128,0.509205053,84.68101353,-1.558986471
4,174.5,133.25,0,1,0.763610315,1.4553128,0.524705284,126.9760418,-6.273958232
4,174.5,133.14,0,1,0.762979943,1.4553128,0.524272131,126.9760418,-6.163958232
4,174.5,132.96,0,1,0.761948424,1.4553128,0.523563336,126.9760418,-5.983958232
4,174.5,132.79,0,1,0.760974212,1.4553128,0.522893918,126.9760418,-5.813958232
4,172.375,131.44,0,1,0.762523568,1.4553128,0.523958539,125.4297719,-6.010228082
4,172.375,131.06,0,1,0.760319072,1.4553128,0.522443747,125.4297719,-5.630228082
4,174.5,130.99,0,1,0.750659026,1.4553128,0.515805967,126.9760418,-4.013958232
4,172.375,130.62,0,1,0.757766497,1.4553128,0.520689777,125.4297719,-5.190228082
4,172.375,130.11,0,1,0.754807832,1.4553128,0.518656767,125.4297719,-4.680228082
4,172.375,130.02,0,1,0.754285714,1.4553128,0.518298001,125.4297719,-4.590228082
5,16.375,10.22,0,1,0.624122137,1.16425024,0.536072157,9.532298838,-0.687701162
5,16.4375,10.1,0,1,0.614448669,1.16425024,0.527763404,9.568681658,-0.531318342
5,16.4375,10.03,0,1,0.610190114,1.16425024,0.524105637,9.568681658,-0.461318342
5,16.4375,9.84,0,1,0.598631179,1.16425024,0.514177415,9.568681658,-0.271318342
5,16.375,9.74,0,1,0.59480916,1.16425024,0.5108946,9.532298838,-0.207701162
5,16.375,9.45,0,1,0.577099237,1.16425024,0.495683159,9.532298838,0.082298838
5,16.375,9.02,0,1,0.550839695,1.16425024,0.473128264,9.532298838,0.512298838
5,16.375,8.84,0,1,0.539847328,1.16425024,0.46368668,9.532298838,0.692298838
5,16.4375,8.79,0,1,0.534752852,1.16425024,0.459310923,9.568681658,0.778681658
5,16.4375,8.79,0,1,0.534752852,1.16425024,0.459310923,9.568681658,0.778681658
5,73.9375,44.8,0,1,0.60591716,1.16425024,0.520435504,43.04087605,-1.759123951
5,73.75,44.46,0,1,0.602847458,1.16425024,0.517798869,42.93172759,-1.528272411
5,73.9375,43.91,0,1,0.593879966,1.16425024,0.510096495,43.04087605,-0.869123951
5,73.9375,43.73,0,1,0.591445478,1.16425024,0.508005459,43.04087605,-0.689123951
5,73.75,43.53,0,1,0.590237288,1.16425024,0.506967719,42.93172759,-0.598272411
5,73.75,43.31,0,1,0.587254237,1.16425024,0.504405511,42.93172759,-0.378272411
5,73.75,43.24,0,1,0.586305085,1.16425024,0.503590263,42.93172759,-0.308272411
5,73.9375,43.04,0,1,0.582113271,1.16425024,0.499989823,43.04087605,0.000876049
5,73.75,42.93,0,1,0.582101695,1.16425024,0.49997988,42.93172759,0.001727589
5,73.9375,42.75,0,1,0.57819104,1.16425024,0.496620933,43.04087605,0.290876049
5,147.875,89.69,0,1,0.606525782,1.16425024,0.520958262,86.0817521,-3.608247902
5,147.5,89.11,0,1,0.604135593,1.16425024,0.518905277,85.86345518,-3.246544822
5,147.5,89.04,0,1,0.603661017,1.16425024,0.518497653,85.86345518,-3.176544822
5,147.875,88.92,0,1,0.601318681,1.16425024,0.51648577,86.0817521,-2.838247902
5,147.5,88.55,0,1,0.600338983,1.16425024,0.515644286,85.86345518,-2.686544822
5,147.875,88.08,0,1,0.595638208,1.16425024,0.511606687,86.0817521,-1.998247902
5,147.5,87.56,0,1,0.593627119,1.16425024,0.509879318,85.86345518,-1.696544822
5,147.5,87.54,0,1,0.593491525,1.16425024,0.509762854,85.86345518,-1.676544822
5,147.875,87.32,0,1,0.590498732,1.16425024,0.507192279,86.0817521,-1.238247902
5,147.875,87.09,0,1,0.588943364,1.16425024,0.505856339,86.0817521,-1.008247902
5,221.875,134.45,0,1,0.605971831,1.16425024,0.520482462,129.159011,-5.290989033
5,221.875,133.58,0,1,0.602050704,1.16425024,0.51711452,129.159011,-4.420989033
5,221.875,133.51,0,1,0.601735211,1.16425024,0.516843537,129.159011,-4.350989033
5,221.875,132.28,0,1,0.596191549,1.16425024,0.512081964,129.159011,-3.120989033
5,221.875,132.26,0,1,0.596101408,1.16425024,0.51200454,129.159011,-3.100989033
5,221.25,131.87,0,1,0.596022599,1.16425024,0.511936849,128.7951828,-3.074817233
5,221.25,131.81,0,1,0.595751412,1.16425024,0.511703921,128.7951828,-3.014817233
5,221.25,131.54,0,1,0.594531073,1.16425024,0.510655745,128.7951828,-2.744817233
5,221.25,131.19,0,1,0.592949153,1.16425024,0.509296998,128.7951828,-2.394817233
5,221.25,131.13,0,1,0.592677966,1.16425024,0.50906407,128.7951828,-2.334817233
2,6.5625,10.22,10,0.984807753,1.557333333,2.866406656,0.543305092,9.550490248,-0.669509752
2,6.5625,9.64,10,0.984807753,1.468952381,2.866406656,0.512471731,9.550490248,-0.089509752
2,6.5,9.5,10,0.984807753,1.461538462,2.866406656,0.509885245,9.459533198,-0.040466802
2,6.5,8.5,10,0.984807753,1.307692308,2.866406656,0.456213114,9.459533198,0.959533198
2,6.5,8.45,10,0.984807753,1.3,2.866406656,0.453529508,9.459533198,1.009533198
2,6.5,8.25,10,0.984807753,1.269230769,2.866406656,0.442795082,9.459533198,1.209533198
2,6.5625,7.06,10,0.984807753,1.075809524,2.866406656,0.375316434,9.550490248,2.490490248
2,6.5625,6.99,10,0.984807753,1.065142857,2.866406656,0.371595166,9.550490248,2.560490248
2,6.5,6.84,10,0.984807753,1.052307692,2.866406656,0.367117377,9.459533198,2.619533198
2,6.5625,6.16,10,0.984807753,0.938666667,2.866406656,0.327471563,9.550490248,3.390490248
2,29.375,43.73,10,0.984807753,1.488680851,2.866406656,0.51935438,42.74981349,-0.980186511
2,29.375,43.57,10,0.984807753,1.483234043,2.866406656,0.517454158,42.74981349,-0.820186511
2,29.3125,42.53,10,0.984807753,1.450916844,2.866406656,0.506179694,42.65885644,0.128856439
2,29.3125,42.11,10,0.984807753,1.436588486,2.866406656,0.501180976,42.65885644,0.548856439
2,29.3125,41.9,10,0.984807753,1.429424307,2.866406656,0.498681617,42.65885644,0.758856439
2,29.3125,41.78,10,0.984807753,1.42533049,2.866406656,0.497253412,42.65885644,0.878856439
2,29.375,41.48,10,0.984807753,1.412085106,2.866406656,0.49263251,42.74981349,1.269813489
2,29.375,41.1,10,0.984807753,1.399148936,2.866406656,0.488119483,42.74981349,1.649813489
2,29.3125,40.23,10,0.984807753,1.372452026,2.866406656,0.478805763,42.65885644,2.428856439
2,29.375,40,10,0.984807753,1.361702128,2.866406656,0.475055458,42.74981349,2.749813489
2,58.8125,92.04,10,0.984807753,1.564973433,2.866406656,0.545970485,85.59058403,-6.449415972
2,58.8125,91.55,10,0.984807753,1.55664187,2.866406656,0.543063863,85.59058403,-5.959415972
2,58.6875,90.64,10,0.984807753,1.544451544,2.866406656,0.538811037,85.40866993,-5.231330072
2,58.6875,90.26,10,0.984807753,1.537976571,2.866406656,0.536552121,85.40866993,-4.851330072
2,58.8125,89.45,10,0.984807753,1.520935175,2.866406656,0.530606909,85.59058403,-3.859415972
2,58.6875,89.31,10,0.984807753,1.521789137,2.866406656,0.53090483,85.40866993,-3.901330072
2,58.6875,89.11,10,0.984807753,1.518381257,2.866406656,0.529715926,85.40866993,-3.701330072
2,58.6875,87.68,10,0.984807753,1.494014909,2.866406656,0.521215267,85.40866993,-2.271330072
2,58.8125,84.53,10,0.984807753,1.43727949,2.866406656,0.501422046,85.59058403,1.060584028
2,58.6875,84.06,10,0.984807753,1.432332268,2.866406656,0.499696114,85.40866993,1.348669928
2,88,134.12,10,0.984807753,1.524090909,2.866406656,0.531707846,128.0675264,-6.052473632
2,88,134.09,10,0.984807753,1.52375,2.866406656,0.531588913,128.0675264,-6.022473632
2,88.1875,133.86,10,0.984807753,1.517902197,2.866406656,0.529548797,128.3403975,-5.519602482
2,88,133.1,10,0.984807753,1.5125,2.866406656,0.527664139,128.0675264,-5.032473632
2,88.1875,132.77,10,0.984807753,1.505542169,2.866406656,0.525236768,128.3403975,-4.429602482
2,88,132.32,10,0.984807753,1.503636364,2.866406656,0.524571892,128.0675264,-4.252473632
2,88,132.15,10,0.984807753,1.501704545,2.866406656,0.523897941,128.0675264,-4.082473632
2,88.1875,132.09,10,0.984807753,1.497831325,2.866406656,0.522546695,128.3403975,-3.749602482
2,88.1875,131.41,10,0.984807753,1.490120482,2.866406656,0.519856622,128.3403975,-3.069602482
2,88.1875,131.34,10,0.984807753,1.489326719,2.866406656,0.519579703,128.3403975,-2.999602482
3,9.9375,10.63,10,0.984807753,1.069685535,1.910937771,0.559769947,9.641447298,-0.988552702
3,9.875,10.61,10,0.984807753,1.07443038,1.910937771,0.56225294,9.580809264,-1.029190736
3,9.875,8.04,10,0.984807753,0.814177215,1.910937771,0.426061606,9.580809264,1.540809264
3,9.875,7.81,10,0.984807753,0.790886076,1.910937771,0.413873276,9.580809264,1.770809264
3,9.875,7.78,10,0.984807753,0.787848101,1.910937771,0.412283494,9.580809264,1.800809264
3,9.9375,7.65,10,0.984807753,0.769811321,1.910937771,0.402844788,9.641447298,1.991447298
3,9.9375,7.65,10,0.984807753,0.769811321,1.910937771,0.402844788,9.641447298,1.991447298
3,9.9375,7.62,10,0.984807753,0.766792453,1.910937771,0.401265004,9.641447298,2.021447298
3,9.9375,7.62,10,0.984807753,0.766792453,1.910937771,0.401265004,9.641447298,2.021447298
3,9.875,7.56,10,0.984807753,0.76556962,1.910937771,0.400625092,9.580809264,2.020809264
3,44.5,45.67,10,0.984807753,1.026292135,1.910937771,0.537062039,43.17427972,-2.495720278
3,44.75,45.25,10,0.984807753,1.011173184,1.910937771,0.529150242,43.41683186,-1.833168144
3,44.75,44.62,10,0.984807753,0.997094972,1.910937771,0.521783068,43.41683186,-1.203168144
3,44.5,44.58,10,0.984807753,1.001797753,1.910937771,0.524244048,43.17427972,-1.405720278
3,44.75,44.46,10,0.984807753,0.993519553,1.910937771,0.519912039,43.41683186,-1.043168144
3,44.5,43.98,10,0.984807753,0.988314607,1.910937771,0.517188274,43.17427972,-0.805720278
3,44.5,43.98,10,0.984807753,0.988314607,1.910937771,0.517188274,43.17427972,-0.805720278
3,44.75,43.96,10,0.984807753,0.982346369,1.910937771,0.514065075,43.41683186,-0.543168144
3,44.75,43.9,10,0.984807753,0.981005587,1.910937771,0.513363439,43.41683186,-0.483168144
3,44.5,43.48,10,0.984807753,0.977078652,1.910937771,0.511308462,43.17427972,-0.305720278
3,89.5,91.87,10,0.984807753,1.026480447,1.910937771,0.537160583,86.83366371,-5.036336289
3,88.9375,90.65,10,0.984807753,1.019255095,1.910937771,0.533379533,86.28792141,-4.362078588
3,88.9375,90.36,10,0.984807753,1.015994378,1.910937771,0.531673189,86.28792141,-4.072078588
3,88.9375,89.71,10,0.984807753,1.008685875,1.910937771,0.527848625,86.28792141,-3.422078588
3,89.5,89.37,10,0.984807753,0.998547486,1.910937771,0.522543173,86.83366371,-2.536336289
3,89.5,88.77,10,0.984807753,0.991843575,1.910937771,0.519034995,86.83366371,-1.936336289
3,89.5,88.23,10,0.984807753,0.985810056,1.910937771,0.515877634,86.83366371,-1.396336289
3,89.5,87.6,10,0.984807753,0.97877095,1.910937771,0.512194047,86.83366371,-0.766336289
3,88.9375,87.52,10,0.984807753,0.984061841,1.910937771,0.514962787,86.28792141,-1.232078588
3,88.9375,87.22,10,0.984807753,0.980688686,1.910937771,0.513197604,86.28792141,-0.932078588
3,134.25,136.69,10,0.984807753,1.018175047,1.910937771,0.53281434,130.2504956,-6.439504433
3,134.25,135.67,10,0.984807753,1.010577281,1.910937771,0.528838404,130.2504956,-5.419504433
3,134.25,135.32,10,0.984807753,1.007970205,1.910937771,0.527474113,130.2504956,-5.069504433
3,133.4375,134.78,10,0.984807753,1.01006089,1.910937771,0.528568175,129.4622011,-5.317798866
3,133.4375,133.99,10,0.984807753,1.004140515,1.910937771,0.525470023,129.4622011,-4.527798866
3,133.4375,133.71,10,0.984807753,1.002042155,1.910937771,0.524371944,129.4622011,-4.247798866
3,134.25,133.11,10,0.984807753,0.99150838,1.910937771,0.518859586,130.2504956,-2.859504433
3,133.4375,132.44,10,0.984807753,0.99252459,1.910937771,0.519391372,129.4622011,-2.977798866
3,133.4375,132.23,10,0.984807753,0.99095082,1.910937771,0.518567813,129.4622011,-2.767798866
3,134.25,132.15,10,0.984807753,0.984357542,1.910937771,0.515117529,130.2504956,-1.899504433
4,12.9375,9.76,10,0.984807753,0.754396135,1.433203328,0.526370628,9.414054673,-0.345945327
4,12.75,9.62,10,0.984807753,0.754509804,1.433203328,0.526449938,9.277619098,-0.342380902
4,12.75,9.14,10,0.984807753,0.716862745,1.433203328,0.500182166,9.277619098,0.137619098
4,12.9375,8.8,10,0.984807753,0.680193237,1.433203328,0.474596467,9.414054673,0.614054673
4,12.75,8.78,10,0.984807753,0.688627451,1.433203328,0.480481337,9.277619098,0.497619098
4,12.75,8.72,10,0.984807753,0.683921569,1.433203328,0.477197865,9.277619098,0.557619098
4,12.9375,8.71,10,0.984807753,0.673236715,1.433203328,0.46974264,9.414054673,0.704054673
4,12.9375,8.68,10,0.984807753,0.670917874,1.433203328,0.468124697,9.414054673,0.734054673
4,12.75,8.34,10,0.984807753,0.654117647,1.433203328,0.456402545,9.277619098,0.937619098
4,12.75,8.32,10,0.984807753,0.65254902,1.433203328,0.455308055,9.277619098,0.957619098
4,58.1875,43.82,10,0.984807753,0.753082707,1.433203328,0.525454199,42.34050676,-1.479493236
4,58.1875,43.71,10,0.984807753,0.751192266,1.433203328,0.524135167,42.34050676,-1.369493236
4,58.1875,43.7,10,0.984807753,0.751020408,1.433203328,0.524015255,42.34050676,-1.359493236
4,57.4375,43.3,10,0.984807753,0.753862894,1.433203328,0.525998565,41.79476446,-1.505235536
4,57.4375,43,10,0.984807753,0.748639826,1.433203328,0.522354233,41.79476446,-1.205235536
4,57.4375,42.86,10,0.984807753,0.746202394,1.433203328,0.520653545,41.79476446,-1.065235536
4,57.4375,41.93,10,0.984807753,0.730010881,1.433203328,0.509356117,41.79476446,-0.135235536
4,57.4375,41.77,10,0.984807753,0.727225245,1.433203328,0.507412473,41.79476446,0.024764464
4,58.1875,41.69,10,0.984807753,0.716476907,1.433203328,0.499912952,42.34050676,0.650506764
4,58.1875,41.56,10,0.984807753,0.71424275,1.433203328,0.498354097,42.34050676,0.780506764
4,116.375,88.42,10,0.984807753,0.759785177,1.433203328,0.530130765,84.68101353,-3.738986471
4,114.875,87.62,10,0.984807753,0.762742111,1.433203328,0.53219393,83.58952893,-4.030471071
4,116.375,86.55,10,0.984807753,0.743716434,1.433203328,0.518918997,84.68101353,-1.868986471
4,114.875,86.42,10,0.984807753,0.752295974,1.433203328,0.524905266,83.58952893,-2.830471071
4,116.375,86.32,10,0.984807753,0.741740064,1.433203328,0.51754001,84.68101353,-1.638986471
4,114.875,86.13,10,0.984807753,0.749771491,1.433203328,0.523143839,83.58952893,-2.540471071
4,116.375,85.67,10,0.984807753,0.736154672,1.433203328,0.513642871,84.68101353,-0.988986471
4,114.875,85.66,10,0.984807753,0.745680087,1.433203328,0.520289112,83.58952893,-2.070471071
4,116.375,85.64,10,0.984807753,0.735896885,1.433203328,0.513463003,84.68101353,-0.958986471
4,114.875,85.17,10,0.984807753,0.741414581,1.433203328,0.517312908,83.58952893,-1.580471071
4,174.5,131.53,10,0.984807753,0.753753582,1.433203328,0.525922294,126.9760418,-4.553958232
4,174.5,130.24,10,0.984807753,0.746361032,1.433203328,0.520764233,126.9760418,-3.263958232
4,174.5,129.92,10,0.984807753,0.744527221,1.433203328,0.519484714,126.9760418,-2.943958232
4,174.5,129.9,10,0.984807753,0.744412607,1.433203328,0.519404744,126.9760418,-2.923958232
4,172.375,129.87,10,0.984807753,0.753415518,1.433203328,0.525686414,125.4297719,-4.440228082
4,172.375,129.46,10,0.984807753,0.751036983,1.433203328,0.524026821,125.4297719,-4.030228082
4,174.5,129.25,10,0.984807753,0.740687679,1.433203328,0.516805721,126.9760418,-2.273958232
4,172.375,128.78,10,0.984807753,0.747092096,1.433203328,0.521274324,125.4297719,-3.350228082
4,172.375,128.53,10,0.984807753,0.745641769,1.433203328,0.520262376,125.4297719,-3.100228082
4,172.375,127.42,10,0.984807753,0.739202321,1.433203328,0.51576933,125.4297719,-1.990228082
5,16.375,10.1,10,0.984807753,0.616793893,1.146562663,0.537950444,9.532298838,-0.567701162
5,16.4375,10.09,10,0.984807753,0.613840304,1.146562663,0.535374406,9.568681658,-0.521318342
5,16.375,10.05,10,0.984807753,0.613740458,1.146562663,0.535287323,9.532298838,-0.517701162
5,16.4375,10,10,0.984807753,0.608365019,1.146562663,0.530599015,9.568681658,-0.431318342
5,16.4375,9.95,10,0.984807753,0.605323194,1.146562663,0.52794602,9.568681658,-0.381318342
5,16.375,9.37,10,0.984807753,0.57221374,1.146562663,0.499068877,9.532298838,0.162298838
5,16.4375,9.06,10,0.984807753,0.551178707,1.146562663,0.480722707,9.568681658,0.508681658
5,16.4375,8.89,10,0.984807753,0.540836502,1.146562663,0.471702524,9.568681658,0.678681658
5,16.375,8.8,10,0.984807753,0.53740458,1.146562663,0.468709298,9.532298838,0.732298838
5,16.375,8.75,10,0.984807753,0.534351145,1.146562663,0.466046177,9.532298838,0.782298838
5,73.75,44.2,10,0.984807753,0.599322034,1.146562663,0.522711975,42.93172759,-1.268272411
5,73.75,44.13,10,0.984807753,0.598372881,1.146562663,0.521884151,42.93172759,-1.198272411
5,73.9375,44.06,10,0.984807753,0.595908707,1.146562663,0.519734966,43.04087605,-1.019123951
5,73.9375,43.74,10,0.984807753,0.591580727,1.146562663,0.515960223,43.04087605,-0.699123951
